0.568,0.045,2
0.024,0.136,2
0.733,0.563,2
0.014,0.295,2
0.734,0.438,2
0.652,0.009,1
0.047,0.165,2
0.545,0.098,2
0.056,0.219,2
0.477,0.487,2
0.593,0.123,1
0.679,0.543,2
0.446,0.157,1
0.558,0.041,2
0,0.211,2
0.047,0.211,2
0.563,0.456,2
0.614,0.018,2
0.026,0.105,2
0.582,0.081,2
0.854,0.465,2
0.105,0.048,2
0.05,0.209,2
0.364,0.463,1
0.799,0.481,2
0.618,0.058,1
0.671,0.487,2
0.153,0.113,0
0.457,0.341,2
0.068,0.189,2
0.513,0.062,2
0.525,0.514,2
0.218,0.205,0
0.732,0.419,2
0.445,0.453,2
0.08,0.242,2
0.77,0.356,2
0.757,0.532,2
0.004,0.259,2
0.608,0.41,2
0.406,0.451,2
0.486,0.042,2
0.489,0.058,2
0.532,0.001,2
0.472,0.106,2
0.439,0.039,2
0.787,0.432,2
0.782,0.43,2
0.492,0.098,2
0.053,0.244,2
0.447,0.433,2
0.524,0.005,2
0.038,0.259,2
0.503,0.426,2
0.756,0.425,2
0.012,0.214,2
0.436,0.026,2
0.076,0.233,2
0.409,0.299,2
0.758,0.515,2
0.46,0.416,2
0.431,0.102,2
0.683,0.48,2
0.487,0.368,2
0.749,0.522,2
0.652,0.492,2
0.568,0.008,2
0.056,0.194,2
0.692,0.563,2
0.042,0.216,2
0.458,0.402,2
0.468,0.387,2
0.058,0.134,2
0.556,0.502,2
0.691,0.461,2
0.497,0.02,2
0.503,0.389,2
0.01,0.223,2
0.548,0.02,2
0.027,0.176,2
0.527,0.109,2
0.53,0.403,2
0.502,0.483,2
0.106,0.172,2
0.782,0.446,2
0.503,0.483,2
0.491,0.021,2
0.725,0.505,2
0.478,0.03,2
0.449,0.401,2
0.535,0.016,2
0.787,0.486,2
0.54,0.088,2
0.524,0.075,2
0.012,0.323,1
0.787,0.475,2
0.052,0.03,2
0.628,0.318,0
0.71,0.416,2
0.926,0.53,0
0.442,0.478,2
0.43,0.368,2
0.435,0.425,2
0.057,0.195,2
0.529,0.031,2
0.383,0.432,2
0.689,0.433,2
0.514,0.489,2
0.72,0.428,2
0.102,0.283,2
0.703,0.469,2
0.013,0.169,2
0.536,0.031,2
0.006,0.109,2
0.448,0.46,2
0.511,0.461,2
0.525,0.013,2
0.384,0.491,1
0.452,0.364,2
0.714,0.434,2
0.044,0.141,2
0.471,0.245,0
0.508,0.031,2
0.437,0.022,2
0.711,0.458,2
0.482,0.037,2
0.39,0.459,2
0.509,0.001,2
0.687,0.502,2
0.122,0.276,1
0.608,0.35,1
0.448,0.054,2
0.485,0.027,2
0.745,0.385,2
0.535,0.041,2
0.758,0.376,2
0.427,0.111,2
0.022,0.187,2
0.415,0.042,2
0.407,0.519,1
0.024,0.115,2
0.054,0.131,2
0.548,0.35,2
0.457,0.029,2
0.36,0.411,2
0.479,0.429,2
0.538,0.015,2
0.449,0.083,2
0.386,0.071,2
0.031,0.253,2
0.495,0.457,2
0.022,0.234,2
0.867,0.568,0
0.799,0.552,2
0.729,0.329,1
0.466,0.361,2
0.625,0.554,1
0.769,0.457,2
0.435,0.002,2
0.754,0.437,2
0.052,0.246,2
0.049,0.268,2
0.678,0.481,2
0.504,0.072,2
0.523,0.037,2
0.736,0.312,0
0.503,0.366,2
0.553,0.516,2
0.029,0.123,2
0.762,0.467,2
0.516,0.426,2
0.116,0.273,2
0.041,0.17,2
0.711,0.434,2
0.002,0.116,2
0.668,0.546,2
0.066,0.144,2
0.516,0.429,2
0.56,0.516,2
0.525,0.333,2
0.034,0.097,2
0.459,0.117,2
0.679,0.53,2
0.423,0.303,2
0.469,0.003,2
0.359,0.002,1
0.018,0.098,2
0.862,0.473,2
0.764,0.575,2
0.45,0.371,2
0.596,0.5,2
0.795,0.449,2
0.71,0.428,2
0.493,0.373,2
0.555,0.392,2
0.75,0.466,2
0.804,0.447,2
0.596,0.436,2
0.512,0.008,2
0.053,0.241,2
0.112,0.164,2
0.53,0.001,2
0.545,0.415,2
0.553,0.053,2
0.597,0.32,1
0.524,0.36,2
0.13,0.233,2
0.733,0.434,2
0.042,0.151,2
0.743,0.484,2
0.033,0.219,2
0.646,0.397,2
0.801,0.414,2
0.402,0.394,2
0.497,0.549,1
0.796,0.528,2
0.483,0.006,2
0.545,0.305,1
0.051,0.048,2
0.449,0.093,2
0.541,0.057,2
0.455,0.455,2
0.497,0.471,2
0.75,0.444,2
0.439,0.086,2
0.824,0.543,2
0.438,0.03,2
0.466,0.072,2
0.517,0.007,2
0.844,0.502,2
0.423,0.056,2
0.43,0.435,2
0.707,0.492,2
0.634,0.432,2
0.532,0.278,1
0.449,0.012,2
0.769,0.473,2
0.62,0.351,2
0.529,0.395,2
0.093,0.102,2
0.431,0.466,2
0.029,0.187,2
0.548,0.12,2
0.486,0.05,2
0.043,0.236,2
0.024,0.172,2
0.603,0.398,2
0.681,0.42,2
0.559,0.004,2
0.546,0.057,2
0.708,0.434,2
0.479,0.46,2
0.162,0.24,1
0.532,0.046,2
0.001,0.246,2
0.392,0.486,2
0.11,0.235,2
0.349,0.385,1
0.426,0.156,1
0.683,0.382,2
0.474,0.46,2
0.779,0.385,2
0.761,0.56,2
0.437,0.466,2
0.429,0.434,2
0.496,0.005,2
0.676,0.434,2
0.636,0.517,2
0.426,0.034,2
0.551,0.39,2
0.506,0.518,2
0.021,0.216,2
0.816,0.383,1
0.577,0.409,2
0.479,0.487,2
0.772,0.417,2
0.538,0.037,2
0.744,0.404,2
0.543,0.388,2
0.678,0.471,2
0.505,0.109,2
0.59,0.154,0
0.374,0.524,1
0.47,0.511,2
0.435,0.023,2
0.836,0.501,2
0.621,0.398,2
0.516,0.47,2
0.696,0.507,2
0.523,0.019,2
0.04,0.211,2
0.659,0.49,2
0.524,0.065,2
0.515,0.424,2
0.743,0.543,2
0.496,0.064,2
0.045,0.168,2
0.751,0.421,2
0.012,0.31,2
0.576,0.121,2
0.508,0.347,2
0.488,0.429,2
0.554,0.343,2
0.472,0.36,2
0.509,0.045,2
0.101,0.223,2
0.403,0.563,0
0.08,0.058,2
0.589,0.015,2
0.514,0.051,2
0.709,0.442,2
0.527,0.008,2
0.48,0.493,2
0.095,0.137,2
0.012,0.128,2
0.455,0.468,2
0.027,0.193,2
0.571,0.069,2
0.552,0.021,2
0.57,0.032,2
0.731,0.484,2
0.486,0.461,2
0.039,0.135,2
0.464,0.454,2
0.501,0.481,2
0.495,0.397,2
0.72,0.52,2
0.739,0.484,2
0.02,0.272,2
0.602,0.46,2
0.028,0.235,2
0.543,0.503,2
0.45,0.007,2
0.01,0.192,2
0.769,0.4,2
0.42,0.449,2
0.518,0.01,2
0.759,0.455,2
0.51,0.07,2
0.785,0.592,1
0.501,0.012,2
0.408,0.379,2
0.416,0.404,2
0.446,0.423,2
0.004,0.197,2
0.453,0.419,2
0.808,0.52,2
0.564,0.464,2
0.038,0.151,2
