0.127,0.177,2
0.55,0.046,2
0.754,0.609,0
0.016,0.099,2
0.519,0.481,2
0.714,0.504,2
0.044,0.251,2
0.064,0.263,2
0.834,0.346,0
0.697,0.432,2
0.725,0.503,2
0.122,0.276,1
0.416,0.028,2
0,0.122,2
0.505,0.515,1
0.462,0.047,2
0.669,0.582,1
0.774,0.416,2
0.733,0.518,2
0.055,0.248,2
0.764,0.376,1
0.022,0.187,2
0.657,0.542,0
0.767,0.44,2
0.525,0.05,2
0.44,0.06,2
0.075,0.185,2
0.075,0.158,2
0.562,0.068,2
0.581,0.093,1
0.051,0.199,2
0.672,0.475,2
0.01,0.192,2
0.68,0.487,2
0.041,0.16,2
0.071,0.057,1
0.539,0.548,0
0.738,0.435,2
0.544,0.032,2
0.709,0.384,2
0.541,0.035,2
0.529,0.075,2
0.617,0.015,0
0.528,0.429,2
0.459,0.026,2
0.487,0.354,2
0.131,0.183,2
0.082,0.079,1
0.692,0.471,2
0.069,0.152,2
0.356,0.475,0
0.706,0.447,2
0.442,0.092,2
0.765,0.508,2
0.756,0.507,2
0.556,0.449,2
0.831,0.429,2
0.548,0.077,2
0.01,0.252,2
0.738,0.502,2
0.04,0.132,2
0.743,0.625,0
0.655,0.421,2
0.602,0.004,1
0.514,0.072,2
0.693,0.593,0
0.714,0.321,0
0.127,0.22,1
0.484,0.044,2
0.765,0.516,2
0.82,0.518,0
0.063,0.169,2
0.762,0.426,2
0.117,0.139,1
0.51,0.394,2
0.698,0.526,2
0.027,0.204,2
0.824,0.44,2
0.381,0.516,0
0.566,0.508,0
0.502,0.16,0
0.724,0.438,2
0.767,0.501,2
0.465,0.018,2
0.444,0.377,2
0.708,0.396,2
0.782,0.323,0
0.436,0.021,2
0.667,0.434,2
0.486,0.011,2
0.448,0.032,2
0.585,0.136,0
0.056,0.244,2
0.525,0.379,2
0.509,0.033,2
0.023,0.186,2
0.077,0.164,2
0.061,0.142,2
0.731,0.448,2
0.002,0.226,2
0.014,0.211,2
0.458,0.434,2
0.687,0.369,1
0.704,0.489,2
0.366,0.053,1
0.047,0.211,2
0.693,0.334,1
0.054,0.165,2
0.644,0.507,1
0.728,0.451,2
0.712,0.375,1
