0.568,0.045
0.024,0.136
0.733,0.563
0.014,0.295
0.734,0.438
0.652,0.009
0.047,0.165
0.545,0.098
0.056,0.219
0.477,0.487
0.593,0.123
0.679,0.543
0.446,0.157
0.558,0.041
0.000,0.211
0.047,0.211
0.563,0.456
0.614,0.018
0.026,0.105
0.582,0.081
0.854,0.465
0.105,0.048
0.050,0.209
0.364,0.463
0.799,0.481
0.618,0.058
0.671,0.487
0.153,0.113
0.457,0.341
0.068,0.189
0.513,0.062
0.525,0.514
0.218,0.205
0.732,0.419
0.445,0.453
0.080,0.242
0.770,0.356
0.757,0.532
0.004,0.259
0.608,0.410
0.406,0.451
0.486,0.042
0.489,0.058
0.532,0.001
0.472,0.106
0.439,0.039
0.787,0.432
0.782,0.430
0.492,0.098
0.053,0.244
0.447,0.433
0.524,0.005
0.038,0.259
0.503,0.426
0.756,0.425
0.012,0.214
0.436,0.026
0.076,0.233
0.409,0.299
0.758,0.515
0.460,0.416
0.431,0.102
0.683,0.480
0.487,0.368
0.749,0.522
0.652,0.492
0.568,0.008
0.056,0.194
0.692,0.563
0.042,0.216
0.458,0.402
0.468,0.387
0.058,0.134
0.556,0.502
0.691,0.461
0.497,0.020
0.503,0.389
0.010,0.223
0.548,0.020
0.027,0.176
0.527,0.109
0.530,0.403
0.502,0.483
0.106,0.172
0.782,0.446
0.503,0.483
0.491,0.021
0.725,0.505
0.478,0.030
0.449,0.401
0.535,0.016
0.787,0.486
0.540,0.088
0.524,0.075
0.012,0.323
0.787,0.475
0.052,0.030
0.628,0.318
0.710,0.416
0.926,0.530
0.442,0.478
0.430,0.368
0.435,0.425
0.057,0.195
0.529,0.031
0.383,0.432
0.689,0.433
0.514,0.489
0.720,0.428
0.102,0.283
0.703,0.469
0.013,0.169
0.536,0.031
0.006,0.109
0.448,0.460
0.511,0.461
0.525,0.013
0.384,0.491
0.452,0.364
0.714,0.434
0.044,0.141
0.471,0.245
0.508,0.031
0.437,0.022
0.711,0.458
0.482,0.037
0.390,0.459
0.509,0.001
0.687,0.502
0.122,0.276
0.608,0.350
0.448,0.054
0.485,0.027
0.745,0.385
0.535,0.041
0.758,0.376
0.427,0.111
0.022,0.187
0.415,0.042
0.407,0.519
0.024,0.115
0.054,0.131
0.548,0.350
0.457,0.029
0.360,0.411
0.479,0.429
0.538,0.015
0.449,0.083
0.386,0.071
0.031,0.253
0.495,0.457
0.022,0.234
0.867,0.568
0.799,0.552
0.729,0.329
0.466,0.361
0.625,0.554
0.769,0.457
0.435,0.002
0.754,0.437
0.052,0.246
0.049,0.268
0.678,0.481
0.504,0.072
0.523,0.037
0.736,0.312
0.503,0.366
0.553,0.516
0.029,0.123
